Frame Size,Prioritising Offscreen Rendering,Frames Received,Average FPS,Frame Data Transferred [MB],Data Transfer Rate [MB/s],,Frames Receive (offscreen rendering = false),Average FPS (offscreen rendering = false),Frame Data Transferred (offscreen rendering = false),Data Transfer Rate (offscreen rendering = false)
1920 x 1200,false,47,4.61,309,30.3,,Frames Receive (offscreen rendering = true),Average FPS (offscreen rendering = true),Frame Data Transferred (offscreen rendering =true),Data Transfer Rate (offscreen rendering = true)
1280 x 920,false,79,7.73,266,26.04,,,,,
1024 x 768,false,91,8.92,204,19.99,,,,,
860 x 480,false,139,13.69,164,16.15,,,,,
640 x 256,false,168,16.47,78,7.65,,,,,
400 x 400,false,204,20.2,93,9.21,,,,,
400 x 300,false,203,20.11,69,6.84,,,,,
432 x 240,false,203,20.19,60,5.97,,,,,
320 x 240,false,231,22.81,50,4.94,,,,,
256 x 256,false,265,26.24,49,4.85,,,,,
224 x 144,false,268,26.63,24,2.38,,,,,
84 x 84,false,377,37.29,7,0.69,,,,,
80 x 80,false,384,37.99,7,0.69,,,,,
80 x 60,false,344,34.19,4,0.4,,,,,
1920 x 1200,true,49,4.77,322,31.37,,,,,
1280 x 920,true,87,6.45,293,21.72,,,,,
1024 x 768,true,88,8.62,198,19.38,,,,,
860 x 480,true,125,12.24,147,14.39,,,,,
640 x 256,true,172,16.86,80,7.84,,,,,
400 x 400,true,193,18.96,88,8.64,,,,,
400 x 300,true,226,22.5,77,7.67,,,,,
432 x 240,true,214,21.05,63,6.2,,,,,
320 x 240,true,262,25.9,57,5.63,,,,,
256 x 256,true,271,26.74,50,4.93,,,,,
224 x 144,true,287,28.48,26,2.58,,,,,
84 x 84,true,378,37.33,7,0.69,,,,,
80 x 80,true,386,38.35,7,0.7,,,,,
80 x 60,true,349,34.82,4,0.4,,,,,
